CLIENT_NAME,CLIENT_REGION,DOCUMENT_TEMPLATE_COLLATE_ID,DOCUMENT_TEMPLATE_ID,FORM_FIELD_COLLATE_ID,DOCUMENT_COLUMN_LABEL,DOCUMENT_COLUMN_DESCRIPTION,DOCUMENT_COLUMN_TYPE,DOCUMENT_COLUMN_DATA_TYPE,DOCUMENT_COLUMN_NAME,NS_DOCUMENT_COLUMN_NAME,IS_CURRENT
fpnsw,SYD,279,279,2090,"If you have selected 'No' to the above compliance question, please comment below as to why you have selected 'No'",,textarea,VARCHAR,S25,S25,True
polyaire,SYD,23,23,264,Other qualifications,Please list any other qualifications and who issued them,textarea,VARCHAR,S23,S23,True
dtestnew,SYD,23,23,264,Other qualifications,Please list any other qualifications and who issued them,textarea,VARCHAR,S23,S23,True
hillgroveresources,SYD,11,11,84,Please briefly describe the change you are trying to make.,,textarea,VARCHAR,S2,S2,True
heroteams,SYD,46,64,572,Middle Name,,single_text,VARCHAR,S7,S7,True
brosnan,SYD,189,296,1782,Job challenges – Satisfaction with the level of challenge,,menu,VARCHAR,S43,S43,True
brownfwg,SYD,425,440,2762,Next Meeting - Date / Time / Location:,,textarea,VARCHAR,S97,S97,True
hrcc,SYD,106,204,1572,Recommended applicant/s for appointment,,single_text,VARCHAR,S16,S16,True
aeris,SYD,2949,2949,6296,Mobile Required:,"If Yes, forward to HR for completion & General Manager’s Approval",radio,VARCHAR,S22,S22,False
beyondblue,SYD,68,246,1588,Employment Type,,menu,VARCHAR,S8,S8,False
inghaminstitute,SYD,360,360,2599,Addition Information,Please include any additional information in relation to this request.,textarea,VARCHAR,S21,S21,False
nanosonics,SYD,262,330,4292,Benchmarking Notes,,textarea,VARCHAR,S33,S33,True
connellgriffin,SYD,76,114,1026,Do you require a CG mobile handset?,This handset can be used for work and personal use,radio,VARCHAR,S7,S7,True
gclegal,SYD,94,550,2883,Acknowledgement,,checkbox,VARCHAR,S21,S21,True
siemens,SYD,6,6,36,Expiry Date,"Competency cards are valid for 5 years.
If you have more than one qualification on the card, it expires 5 years after you complete the first course.

For example, if you finished the RSA course in 1 August 2014, ​and then complete RCG training in 1 March 2015 – your card expires 1 August 2019.

Working with an expired competency card is illegal and you may get a fine.
Please indicate your RSA competency card expiry date below.",expiry_date,DATE_TIME,D1,D1,True
lunaparksydney,SYD,74,149,781,Voice Mail,,menu,VARCHAR,S11,S11,True
vodafonevanuatu,SYD,305,305,2601,Duration,Include start and end date,textarea,VARCHAR,S10,S10,True
lcsqld,SYD,73,86,860,"If you answered “yes”, please provide details:",,textarea,VARCHAR,S79,S79,True
swancare,SYD,42,57,1256,Provide information regarding ACFI and Assessment Process,,radio,VARCHAR,S89,S89,True
arcadiala,SYD,71,170,140,Accreditation / Membership 3,,textarea,VARCHAR,S10,S10,True
brisbanenorthphn,SYD,494,781,3447,Are there any other flexible working arrangements you would like us to consider?,"e.g. break times, number of in-office days",textarea,VARCHAR,S20,S20,True
umsu,SYD,181,183,1505,Employment type,,single_text,VARCHAR,S3,S3,True
qnmu,SYD,2062,2133,8030,Please select the hardware needed (Note: All staff are given a laptop & headset as standard),Select from the list (you can select multiple boxes)Please ensure you have checked the work station has all the relevant equipment,checkbox,VARCHAR,S15,S15,True
powertech,SYD,535,560,3071,Observation of (describe the task/tasks performed),,textarea,VARCHAR,S4,S4,True
moorestephensqldnsw,SYD,2381,2391,21066,Phone and Documents:,Tick all applicable options relevant to you,checkbox,VARCHAR,S40,S40,False
