Enrolment Id,USER_ID,COURSE_ID,Enrolment Method,Enrolment Status,Enrolment Cost,Enrolment First Enrolled Date,Enrolment Due Date,Enrolment Start Date,Enrolment Completion Date,Enrolment Created Date,Enrolment Modified Date,Enrolment Assignment Rule,Enrolment Retrain In Period,Enrolment Retrain Open In Period,Enrolment Retrain Date,Enrolment Retrain Open Date,Enrolment Is Retrain Overdue,Enrolment Is Enrolment Overdue,Enrolment Overdue Days,Enrolment Retrain Overdue Days,CLIENT_NAME,CLIENT_REGION
560,280,41,Manual,Completed,0.0,2026-04-29 01:04:01+00:00,2025-07-23 00:00:00+00:00,2025-07-23 01:04:47+00:00,2025-07-23 01:04:47+00:00,2026-04-29 01:04:01+00:00,2026-04-29 01:04:47+00:00,,0 MONTHS,0 DAYS,,,False,False,0,0,mortco,SYD
3421,516,39,Manual,Completed,0.0,2025-07-21 01:57:29+00:00,2026-07-28 04:55:12+00:00,2025-07-21 04:50:31+00:00,2025-07-21 04:55:12+00:00,2023-10-30 05:50:49+00:00,2026-07-06 16:34:58+00:00,,12 MONTHS,2 WEEKS,2026-07-21 04:55:12+00:00,2026-07-07 04:55:12+00:00,False,False,0,0,gora,SYD
60584,1670,1473,Manual,Not Yet Started,0.0,2026-04-29 00:54:10+00:00,2026-05-27 00:54:10+00:00,,,2026-04-29 00:54:10+00:00,2026-04-29 00:54:10+00:00,,0 MONTHS,0 DAYS,,,False,True,42,0,heritagelifecare,SYD
251248,1545,9,Rule,Not Yet Started,0.0,2026-03-25 22:20:38+00:00,2026-04-01 22:20:38+00:00,,,2026-03-25 22:20:38+00:00,2026-03-25 22:20:38+00:00,Policies and Procedures for Week 1,24 MONTHS,1 MONTHS,,,False,True,98,0,ucwcsa,SYD
39564,1022,591,Manual,Completed,0.0,2026-07-01 04:08:39+00:00,,2026-07-01 04:08:39+00:00,2026-07-06 19:24:43+00:00,2026-07-01 04:08:39+00:00,2026-07-06 19:24:43+00:00,,0 MONTHS,0 DAYS,,,False,False,0,0,mercyhospital,SYD
4443,391,163,Manual,Completed,0.0,2026-04-28 23:02:25+00:00,,2022-01-24 11:00:00+00:00,2022-01-24 11:00:00+00:00,2026-04-28 23:02:25+00:00,2026-04-28 23:02:25+00:00,,0 MONTHS,0 DAYS,,,False,False,0,0,northlandregionalcouncil,SYD
63117,2276,1317,Manual,In Progress,0.0,2026-04-29 03:06:25+00:00,2026-05-20 03:06:25+00:00,2026-04-29 04:26:30+00:00,,2026-04-29 03:06:25+00:00,2026-04-29 04:26:30+00:00,,0 MONTHS,0 DAYS,,,False,True,49,0,heritagelifecare,SYD
2931,365,127,Manual,Completed,0.0,2026-04-28 23:00:44+00:00,,2024-04-28 12:00:00+00:00,2024-04-28 12:00:00+00:00,2026-04-28 23:00:44+00:00,2026-04-28 23:00:45+00:00,,0 MONTHS,0 DAYS,,,False,False,0,0,northlandregionalcouncil,SYD
161341,2455,1171,Rule,Completed,0.0,2025-07-06 21:15:16+00:00,2026-08-04 05:42:52+00:00,2025-07-07 05:31:17+00:00,2025-07-07 05:42:52+00:00,2025-07-06 21:15:16+00:00,2026-07-06 16:34:20+00:00,Mandatory eLearning courses for all staff from 31 August 2023 onwards,12 MONTHS,0 DAYS,2026-07-07 05:42:52+00:00,2026-07-07 05:42:52+00:00,True,False,0,0,qbcc,SYD
14128,1309,13,Rule,Not Yet Started,0.0,2026-04-29 00:30:43+00:00,2026-05-06 00:30:43+00:00,,,2026-04-29 00:30:43+00:00,2026-04-29 00:30:43+00:00,Mandatory policies and training for New Starter,0 MONTHS,0 DAYS,,,False,True,63,0,pattersoncheney,SYD
1194,634,167,Manual,Completed,0.0,2026-04-28 22:59:07+00:00,,2025-08-10 12:00:00+00:00,2025-08-10 12:00:00+00:00,2026-04-28 22:59:07+00:00,2026-04-28 22:59:07+00:00,,0 MONTHS,0 DAYS,,,False,False,0,0,northlandregionalcouncil,SYD
1366,172,41,Manual,Completed,0.0,2023-04-19 07:34:24+00:00,2024-08-14 12:22:45+00:00,2024-11-01 07:04:28+00:00,2025-03-10 23:14:12+00:00,2023-04-19 07:34:24+00:00,2025-03-10 23:14:12+00:00,,24 MONTHS,14 MONTHS,2027-03-10 23:14:12+00:00,2026-01-10 23:14:12+00:00,False,False,0,0,gooddrinks,SYD
772,284,7,Self,Not Yet Started,0.0,2026-04-29 07:09:52+00:00,2026-05-06 07:09:52+00:00,,,2026-04-29 07:09:52+00:00,2026-04-29 07:09:52+00:00,,0 MONTHS,0 DAYS,,,False,True,63,0,harbgroup,SYD
4256591,94635,234,Self,Not Yet Started,0.0,2026-05-19 22:22:47+00:00,2026-06-16 22:22:47+00:00,,,2026-05-19 22:22:47+00:00,2026-05-19 22:22:47+00:00,,0 MONTHS,0 DAYS,,,False,True,22,0,wilson,SYD
10760,1232,48,Rule,Completed,0.0,2025-07-07 01:08:16+00:00,2026-07-14 03:27:37+00:00,2025-07-07 02:58:22+00:00,2025-07-07 03:27:37+00:00,2025-07-07 01:08:16+00:00,2026-07-06 16:34:25+00:00,Fire Safety and Emergency Evacuation,12 MONTHS,0 DAYS,2026-07-07 03:27:37+00:00,2026-07-07 03:27:37+00:00,True,False,0,0,kalwun,SYD
2908,845,47,Manual,Not Yet Started,0.0,2026-04-29 00:56:28+00:00,2026-05-06 00:56:28+00:00,,,2026-04-29 00:56:28+00:00,2026-04-29 00:56:28+00:00,,0 MONTHS,0 DAYS,,,False,True,63,0,spcc,SYD
