Enrolment Id,USER_ID,COURSE_ID,Enrolment Method,Enrolment Status,Enrolment Cost,Enrolment First Enrolled Date,Enrolment Due Date,Enrolment Start Date,Enrolment Completion Date,Enrolment Created Date,Enrolment Modified Date,Enrolment Assignment Rule,Enrolment Retrain In Period,Enrolment Retrain Open In Period,Enrolment Retrain Date,Enrolment Retrain Open Date,Enrolment Is Retrain Overdue,Enrolment Is Enrolment Overdue,Enrolment Overdue Days,Enrolment Retrain Overdue Days,CLIENT_NAME,CLIENT_REGION
2044841,39406,1002,Manual,Not Yet Started,0.0,2021-09-06 03:17:01+00:00,2021-09-20 03:17:01+00:00,,,2021-09-06 03:17:01+00:00,2021-09-06 03:17:01+00:00,,0 MONTHS,0 DAYS,,,False,True,1753,0,wilson,SYD
1396464,30089,3888,Manual,In Progress,0.0,2023-11-16 03:29:33+00:00,2023-11-23 03:29:33+00:00,2023-11-23 10:37:04+00:00,,2023-11-16 03:29:33+00:00,2023-11-23 10:37:04+00:00,,0 MONTHS,0 DAYS,,,False,True,959,0,msssecurity,SYD
1371606,265982,991,Rule,Not Yet Started,0.0,2026-02-20 06:54:34+00:00,2026-03-20 06:54:34+00:00,,,2026-03-31 00:32:56+00:00,2026-03-31 00:32:56+00:00,Core - GBV - All staff v2,24 MONTHS,1 MONTHS,,,False,True,111,0,uomtrainme,SYD
19910,9141,72,Manual,Recompletion Required,,2017-09-30 17:12:36+00:00,,2017-10-12 07:36:07+00:00,2017-10-12 07:41:03+00:00,2017-01-16 09:10:39+00:00,2019-10-11 16:46:54+00:00,,24 MONTHS,0 DAYS,2019-10-12 07:41:03+00:00,2019-10-12 07:41:03+00:00,True,False,0,2462,swinburne,SYD
1373,1025,16,Manual,Not Yet Started,0.0,2025-09-24 12:13:21+00:00,2025-10-01 12:13:21+00:00,,,2025-09-24 12:13:21+00:00,2025-09-24 12:13:21+00:00,,0 MONTHS,0 DAYS,,,False,True,281,0,pattersoncheney,SYD
24486,924,332,Manual,Not Yet Started,0.0,2026-05-08 04:37:25+00:00,2026-05-15 00:00:00+00:00,,,2026-05-08 04:37:25+00:00,2026-05-08 04:37:25+00:00,,0 MONTHS,0 DAYS,,,False,True,55,0,personnelgroup,SYD
296035,28983,295,Self,Recompletion Required,0.0,2021-02-02 06:47:50+00:00,2023-03-30 07:09:36+00:00,2021-02-02 06:59:36+00:00,2021-02-02 07:09:36+00:00,2024-05-13 05:24:17+00:00,2024-05-13 05:24:17+00:00,,24 MONTHS,0 DAYS,2023-02-02 07:09:36+00:00,2023-02-02 07:09:36+00:00,True,True,0,1253,swinburne,SYD
267611,22799,34,Self,In Progress,0.0,2025-08-18 01:01:53+00:00,2025-09-15 01:01:53+00:00,2025-08-18 01:02:06+00:00,,2025-08-18 01:01:53+00:00,2025-08-18 01:02:06+00:00,,0 MONTHS,0 DAYS,,,False,True,297,0,elmoacademy,SYD
365800,7823,469,Manual,In Progress,0.0,2024-05-17 03:31:27+00:00,2026-07-07 00:10:40+00:00,2026-06-06 23:50:37+00:00,2025-06-07 00:10:40+00:00,2024-05-17 03:31:27+00:00,2026-06-06 23:50:37+00:00,,12 MONTHS,1 MONTHS,2026-06-07 00:10:40+00:00,2026-05-07 00:10:40+00:00,True,True,2,32,catercare,SYD
740796,26777,507,Manual,Not Yet Started,,2015-08-14 00:00:00+00:00,2015-09-11 00:00:00+00:00,,,2015-11-02 18:18:57+00:00,2015-11-02 18:18:57+00:00,,0 MONTHS,0 DAYS,,,False,True,3954,0,healthscope,SYD
