Assignment Rule ID,COURSE_ID,Assignment Rule Name,Assignment Rule Description,Assignment Rule Created Date,Assignment Rule Modified Date,Assignment Rule Is Active,Assignment Rule Is Confirmed,Assignment Rule Is Required Course,Assignment Rule Is Recommended Course,CLIENT_NAME,CLIENT_REGION
58,447,Member facing - Manager,"This is compliance training for managers who manage member facing staff who are new to their role in AMB. Allocated when the person joins AMB or is promoted to a manager role. Created 14 September 2023. Updated 2 April 2025. Updated on 16 Sep to include Chief Operations & People Officer. Updated 2 April 2026 to remove AML/CTF Supplementary Training as it needs to be reviewed and updated.
Removed Ninjio S9E08 and added S10 E02. 9 June 2026. Removed Managing AML/CTF Training. 24 June '26",2023-09-14 06:22:47+00:00,2026-06-24 00:51:49+00:00,True,True,True,False,australianmilitarybank,SYD
11,45,Director of Clinical Research + AI Clinical Director,"Director of Clinical Research 
AI Clinical Director",2022-05-04 01:37:13+00:00,2022-05-31 02:18:17+00:00,False,True,True,False,annaliseai,SYD
61,736,HO - Manager,"This assignment rule allocates compliance training to all Managers of teams who are not managing member facing teams. Created September 14, 2023. Updated 2 April 2025.
Removed Ninjio S9E08 and put S10E02. 9 June 2026. Removed Managing AML/CTF training.24 June '26",2023-09-14 06:59:28+00:00,2026-06-24 00:50:46+00:00,True,True,True,False,australianmilitarybank,SYD
95,418,Domestic and Family Violence Services Policies and Procedures,This enrols all employees working within the Domestic and Family Violence Services in their specific program Policies and Procedures.  These need to be completed by the end of Week 4. Created 4 November 2025 - Donna Slade.,2025-11-04 05:39:53+00:00,2026-06-12 04:56:17+00:00,True,True,True,False,ucwcsa,SYD
197,484,Mandatory Reporting of Child Sexual Abuse in WA Part 3,"Dept Communities online module for Mandatory Reporters of Child Sexual Abuse in WA.  Rule added for all Coordinators and Managers in Community Living for the purpose of the new Out of Home Care Service. 
Added by Bek Saw 28th April 2025",2025-04-28 04:15:15+00:00,2025-04-28 04:16:43+00:00,True,True,True,False,autism,SYD
574,252,ASA Acceptable Use Organisational Standard,This course is essential for all employees hired before 14/07/2023. The course provides the Acceptable Use Organisational Standard document to the employeee and requires them to acknowledge they have read and understood the document.  Contracts after this time incorporate the new standard.,2023-07-16 23:34:40+00:00,2025-07-17 05:20:15+00:00,False,True,True,False,anglicaresa,SYD
33,615,Production Bandsaw Operator,"Production Bandsaw Operator updated 21.10.21
(needs allergen awareness)",2021-10-21 12:23:51+00:00,2022-09-09 00:08:08+00:00,False,True,True,False,hiltonfoods,SYD
1119,11401,Darwin_Theatre: Angio - Clinical Practical Assessments,"Darwin_Angio - Clinical Angio Staff
Practical Clinical Competencies",2018-09-26 03:48:14+00:00,2019-07-30 06:59:52+00:00,True,True,True,False,healthscope,SYD
102,5083,Assignment Rule 107,"Healthscope staff excluding ACHA. The role is Nursing Clinical. Courses:  Med+safe Oral liquids, Tablets & Capsules and Injections",2020-12-09 05:31:01+00:00,2020-12-11 00:42:58+00:00,False,True,True,False,healthscopeelearning,SYD
217,553,2025 LatAm SPANISH,"Start date: 01/01/1990 - 30/06/2025
Departments: Latin America; Travel Guard
Locations: Latin America; Mexico

Below not done
The ABC-s course was removed and updated to ABC-Sp (as per NS)  the following employees completed the initial course so are not required to complete the second and had completed all other 
- 23091
- 16880
- 16191
- 22881
- 40069
- 22983",2025-04-01 03:53:49+00:00,2026-06-19 05:30:04+00:00,False,True,True,False,covermore,SYD
1634,14235,NP Covid-19 OR RNs/EENs,"OR RNs and EENs (Anaesthetics, PACU, Scrub/Scout)  complete the following Covid 19 packages by 4th May 2020
Include Graduate Nurses",2020-04-17 01:53:27+00:00,2020-04-20 03:04:48+00:00,True,True,True,False,healthscope,SYD
22,976,Not active - Mandatory Courses - New Starter (Consultants only),Cbus Code of Conduct; Privacy at Cbus; AML&CTF Corporate Whistleblowing; Information Security; Privacy,2020-05-19 23:25:38+00:00,2023-02-02 07:06:37+00:00,False,True,True,False,cbus,SYD
278,988,Head of Corporate Affairs (TNA) 2025,"Head of Corporate Affairs (TNA) 2025 
Previous - Director Corporate Relations & Communications (TNA) 2025",2025-03-20 23:47:11+00:00,2025-12-10 02:54:15+00:00,True,True,False,True,sydneymetro,SYD
281,133,Communications  Coordinator (TNA) 2024,Communications  Coordinator (TNA) 2024,2025-03-21 00:08:27+00:00,2025-03-21 00:11:40+00:00,True,True,True,False,sydneymetro,SYD
