Enrolment Id,USER_ID,COURSE_ID,Enrolment Method,Enrolment Status,Enrolment Cost,Enrolment First Enrolled Date,Enrolment Due Date,Enrolment Start Date,Enrolment Completion Date,Enrolment Created Date,Enrolment Modified Date,Enrolment Assignment Rule,Enrolment Retrain In Period,Enrolment Retrain Open In Period,Enrolment Retrain Date,Enrolment Retrain Open Date,Enrolment Is Retrain Overdue,Enrolment Is Enrolment Overdue,Enrolment Overdue Days,Enrolment Retrain Overdue Days,CLIENT_NAME,CLIENT_REGION
24267,809,329,Manual,Not Yet Started,0.0,2026-04-28 04:57:28+00:00,2026-05-05 04:57:28+00:00,,,2026-04-28 04:57:28+00:00,2026-04-28 04:57:28+00:00,,0 MONTHS,0 DAYS,,,False,True,64,0,personnelgroup,SYD
2143,189,71,Manual,Not Yet Started,0.0,2024-03-11 22:35:26+00:00,,,,2025-01-13 02:17:22+00:00,2025-01-13 02:17:22+00:00,,12 MONTHS,30 DAYS,,,False,False,0,0,csm5golden,SYD
1501284,52956,801,Rule,Not Yet Started,0.0,2026-04-14 04:04:53+00:00,2026-05-12 04:04:53+00:00,,,2026-04-14 04:04:53+00:00,2026-04-14 04:04:53+00:00,SCS - BP Learning Admin Staff,0 MONTHS,0 DAYS,,,False,True,57,0,sonic,SYD
27911,284,185,Rule,Recompletion Required,0.0,2024-04-15 00:07:23+00:00,2026-06-29 06:45:29+00:00,2025-04-29 06:45:14+00:00,2025-04-29 06:45:29+00:00,2024-04-15 00:07:23+00:00,2026-03-28 17:31:13+00:00,Altius Group - Compliance Modules,12 MONTHS,1 MONTHS,2026-04-29 06:45:29+00:00,2026-03-29 06:45:29+00:00,True,True,0,70,altiusgroup,SYD
59008,2624,1305,Manual,Not Yet Started,0.0,2026-04-28 21:11:10+00:00,2026-05-19 21:11:10+00:00,,,2026-04-28 21:11:10+00:00,2026-04-28 21:11:10+00:00,,0 MONTHS,0 DAYS,,,False,True,50,0,heritagelifecare,SYD
17467,1939,221,Manual,Completed,0.0,2020-09-18 05:13:48+00:00,2025-09-01 22:20:12+00:00,2025-09-01 00:23:38+00:00,2025-09-01 00:39:15+00:00,2020-09-18 05:13:48+00:00,2025-09-01 00:39:15+00:00,,12 MONTHS,8 WEEKS,2026-09-01 00:39:15+00:00,2026-07-07 00:39:15+00:00,False,False,0,0,gladstonerc,SYD
3380,245,126,Manual,Completed,0.0,2021-06-10 04:45:49+00:00,2021-07-08 04:45:49+00:00,2021-06-29 00:49:06+00:00,2021-06-29 01:22:21+00:00,2021-06-10 04:45:49+00:00,2021-06-29 01:22:21+00:00,,0 MONTHS,0 DAYS,,,False,False,0,0,swsphn,SYD
31589,1344,235,Rule,Completed,0.0,2026-06-03 21:18:10+00:00,2026-08-02 21:18:10+00:00,,2026-06-08 23:22:19+00:00,2026-06-03 21:18:10+00:00,2026-06-08 23:22:19+00:00,Hindmarsh Compliance Learning Package,24 MONTHS,60 DAYS,2028-06-08 23:22:19+00:00,2028-04-09 23:22:19+00:00,False,False,0,0,hindmarsh,SYD
294995,30901,3,Manual,Completed,0.0,2026-06-03 14:11:42+00:00,2026-06-17 14:11:42+00:00,2026-06-05 00:20:05+00:00,2026-06-05 00:41:26+00:00,2026-06-03 14:11:42+00:00,2026-06-05 00:41:26+00:00,,0 MONTHS,0 DAYS,,,False,False,0,0,elmoacademy,SYD
38850,2052,131,Rule,Recompletion Required,0.0,2025-01-15 21:56:39+00:00,2026-03-30 04:48:52+00:00,2025-01-30 04:36:07+00:00,2025-01-30 04:48:52+00:00,2025-01-15 21:56:39+00:00,2025-12-29 15:35:47+00:00,Altius Group - Compliance Modules,12 MONTHS,1 MONTHS,2026-01-30 04:48:52+00:00,2025-12-30 04:48:52+00:00,True,True,0,159,altiusgroup,SYD
