CLIENT_NAME,CLIENT_REGION,DOCUMENT_TEMPLATE_COLLATE_ID,DOCUMENT_TEMPLATE_ID,FORM_FIELD_COLLATE_ID,DOCUMENT_COLUMN_LABEL,DOCUMENT_COLUMN_DESCRIPTION,DOCUMENT_COLUMN_TYPE,DOCUMENT_COLUMN_DATA_TYPE,DOCUMENT_COLUMN_NAME,NS_DOCUMENT_COLUMN_NAME,IS_CURRENT
forbesshirecouncil,SYD,135,179,1979,Please list any shared drives that this employee will need access to,,checkbox,VARCHAR,S10,S10,True
familycare,SYD,205,292,1548,Date Induction was completed,,date,DATE_TIME,D1,D1,True
mstn,SYD,170,391,1548,Proposed Days and hours of work,,textArea,,S7,S7,True
vodafonecookislands,SYD,317,328,2168,Dept. /Location:,,textArea,,S3,S3,True
goodsammy,SYD,514,635,3803,Previous User for Access Copy,Please name the previous employee whom held this position in order for the IT department to copy over to the new user.,single_text,VARCHAR,S8,S8,True
sctlogistics,SYD,2404,3306,7850,Licence Details,Enter your name as per your Licence,name,VARCHAR,S7,S7,True
corde,SYD,170,205,1667,Risk Level,,menu,VARCHAR,S4,S4,True
bgc,SYD,6,6,36,Expiry Date,"Competency cards are valid for 5 years. If you have more than one qualification on the card, it expires 5 years after you complete the first course. For example, if you finished the RSA course in 1 August 2014, ​and then complete RCG training in 1 March 2015 &ndash; your card expires 1 August 2019. Working with an expired competency card is illegal and you may get a fine. Please indicate your RSA competency card expiry date below.",expiry_date,DATE_TIME,D1,D1,True
smilepartners,SYD,171,615,768,Do you have any special dietary needs?,"If yes, please explain.",textArea,,S4,S4,True
moorestephensqldnsw,SYD,2693,2709,26128,Actions to be taken,,textArea,,S35,S35,True
socialfutures,SYD,106,453,3575,Current Fortnightly Hours:,,single_text,VARCHAR,S1,S1,True
melroseco,SYD,143,174,1287,Proposed Job Title:,,textArea,,S4,S4,True
maryssandpit,SYD,13,13,138,Accreditation / Membership 1,,textArea,,S11,S11,True
westernleisureservices,SYD,396,809,3229,Date Site Induction was Conducted,,date,DATE_TIME,D1,D1,True
straitlink,SYD,15,314,1156,Location,Select from the list,menu,VARCHAR,S11,S11,True
hydraulinkowneroperators,SYD,14,55,151,Describe any working restrictions that your visa holds.,,textArea,,S2,S2,True
sjog,SYD,266,334,1971,Infection prevention and control,Pandemic response discussed Infection outbreak management discussed Location and use of PPE discussed,checkbox,VARCHAR,S16,S16,True
ipdgroup,SYD,85,85,1234,Price list,,textArea,,S16,S16,True
animalsaustralia,SYD,61,294,1927,Office 365,Please select all required,checkbox,VARCHAR,S3,S3,True
yourcommunityhealth,SYD,16,829,6530,Key Personnel?,Is this position classified as Key Personnel for NDIS or Aged Care?,checkbox,VARCHAR,S17,S17,True
catalysteducation,SYD,89,101,662,"In a typical week, how often did you feel stressed at work?",,textArea,,S12,S12,True
rw,SYD,55,639,2233,Any additional allowances for the role?,,checkbox,VARCHAR,S11,S11,True
teachforaustralia,SYD,153,252,1576,Current Position Title,,single_text,VARCHAR,S12,S12,True
optivlydemosite,SYD,6,6,36,Expiry Date,"Competency cards are valid for 5 years. If you have more than one qualification on the card, it expires 5 years after you complete the first course. For example, if you finished the RSA course in 1 August 2014, ​and then complete RCG training in 1 March 2015 &ndash; your card expires 1 August 2019. Working with an expired competency card is illegal and you may get a fine. Please indicate your RSA competency card expiry date below.",expiry_date,DATE_TIME,D1,D1,True
achieveaus,SYD,746,746,5818,"Question 1. Briefly describe the principles of NDIS, Active Support and a human rights based approach to service delivery and how have you achieved this is your services?",,textArea,,S3,S3,True
