ID,MODULE,NAME,CLIENT_NAME,CLIENT_REGION,VALUE
713,company,crtManagerReportingScope,csmgold9,SYD,1
644,company,crtManagerReportingScope,mariansw,SYD,3
727,company,crtManagerReportingScope,elmosupportteam,SYD,1
