Job Role ID,Job Role Title,Job Role Identifier,Job Role Created Date,CLIENT_NAME,CLIENT_REGION
255,Sheet Metal Fabricator,JR327,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
114,FAN - VIC - Senior Controls Systems Engineer,FAN - VIC - Senior Controls Systems Engineer,2026-06-25 01:24:07+00:00,fantech,SYD
150,A/Assistant Membership Manager,A/Assistant Membership Manager,2026-07-07 23:03:04+00:00,queenslandteachersunion,SYD
29,Director of Student Wellbeing and Pastoral Programming,DSW,2026-07-07 05:06:56+00:00,vncqld,SYD
61,Program Officer - NZ,Program Officer - NZ,2026-07-07 04:16:14+00:00,ranzcr,SYD
113,Team Coordinator,Team Coordinator,2026-07-07 04:16:15+00:00,ranzcr,SYD
39,Grounds Person,GRP,2026-07-07 05:06:56+00:00,vncqld,SYD
168,Mechanical Design Manager,JR195,2025-01-10 22:21:18+00:00,hrcsandpitgov,GOV
83,Organiser Redlands/Logan,Organiser Redlands/Logan,2026-07-07 23:02:58+00:00,queenslandteachersunion,SYD
64,"Program Officer, Examination Development and Delivery","Program Officer, Examination Development and Delivery",2026-07-07 04:16:14+00:00,ranzcr,SYD
44,Head of Inclusive Learning,HIL,2026-07-07 05:06:56+00:00,vncqld,SYD
248,Senior Talent Acquisition Specialist,JR315,2025-01-10 22:21:19+00:00,hrcsandpitgov,GOV
336,FAN - VIC - Despatch Coordinator,FAN - VIC - Despatch Coordinator,2026-06-25 01:24:21+00:00,fantech,SYD
26,IAG - ACT - Sales Manager,IAG - ACT - Sales Manager,2026-06-25 01:23:56+00:00,fantech,SYD
221,"Team Leader, Regional Operations","Team Leader, Regional Operations",2026-07-07 03:21:58+00:00,cciwa,SYD
75,Organiser -  Far North QLD,Organiser -  Far North QLD,2026-07-07 23:02:57+00:00,queenslandteachersunion,SYD
277,"Apprenticeship Support Officer, Inbound Call Centre","Apprenticeship Support Officer, Inbound Call Centre",2026-07-07 03:22:04+00:00,cciwa,SYD
148,Senior Events Coordinator,Senior Events Coordinator,2026-07-07 03:21:46+00:00,cciwa,SYD
72,Country Administration Officer Gold Coast,Country Administration Officer Gold Coast,2026-07-07 23:02:56+00:00,queenslandteachersunion,SYD
100,"Senior Manager, Strategic Projects","Senior Manager, Strategic Projects",2026-07-07 04:16:15+00:00,ranzcr,SYD
271,A/Personal Assistant to the General Secretary,A/Personal Assistant to the General Secretary,2026-07-07 23:03:09+00:00,queenslandteachersunion,SYD
115,A/Professional Issues Officer,A/Professional Issues Officer,2026-07-07 23:03:02+00:00,queenslandteachersunion,SYD
269,A/Organiser - Sunshine Coast,A/Organiser - Sunshine Coast,2026-07-07 23:03:09+00:00,queenslandteachersunion,SYD
18,Deputy Principal,DPR,2026-07-07 05:06:55+00:00,vncqld,SYD
124,"Client Support Officer, Fee For Service","Client Support Officer, Fee For Service",2026-07-07 03:21:44+00:00,cciwa,SYD
