Assignment Rule ID,COURSE_ID,Assignment Rule Name,Assignment Rule Description,Assignment Rule Created Date,Assignment Rule Modified Date,Assignment Rule Is Active,Assignment Rule Is Confirmed,Assignment Rule Is Required Course,Assignment Rule Is Recommended Course,CLIENT_NAME,CLIENT_REGION
311,107,Environment and Sustainability Advisor (TNA) 2025,Environment and Sustainability Advisor (TNA) 2025,2025-04-03 01:01:06+00:00,2025-10-24 06:22:39+00:00,True,True,True,False,sydneymetro,SYD
1721,14235,FPH - Healthscope COVID-19 - Patient transport,,2020-04-20 06:23:43+00:00,2020-04-20 06:23:51+00:00,True,True,True,False,healthscope,SYD
8,44,CAC - OP985,Senior Domestic Assistant,2022-09-14 13:52:22+00:00,2022-09-20 10:53:10+00:00,True,True,True,False,anglicaresasandbox,SYD
44,330,BAS Project Delivery - Project Electrician,This is a BAS Project Delivery Electrician role specific rule for required and recommended HSW courses as documented in the HSW Training Matrix. This rule is owned by HSW Team.,2025-04-16 00:58:34+00:00,2026-05-20 00:57:07+00:00,True,True,True,False,barwonwater,SYD
8,201,Emergency Control Organisation,This assignment rule relates to all the Emergency Control members - Wardens and designated first aid officers,2020-05-17 23:11:23+00:00,2020-05-17 23:11:26+00:00,True,True,True,False,powerwater,SYD
17,11,New Team Member Induction - PET ICU (V1),This contains all modules required for completion by new team members.,2019-06-24 01:29:05+00:00,2019-07-26 04:09:16+00:00,False,True,True,False,aea,SYD
92,322,Can Filling - Team Leader - Core Training,,2022-10-28 08:24:59+00:00,2026-06-23 00:14:30+00:00,True,True,True,False,dgc,SYD
442,138,COM_CYF - OP907,"Placement Support Worker, New Carers",2022-09-23 03:39:16+00:00,2022-09-23 03:39:18+00:00,True,True,True,False,anglicaresasandbox,SYD
15,394,Bridges Essentials,These courses are assigned to all Bridges staff,2023-02-21 07:54:36+00:00,2026-01-13 04:05:49+00:00,False,True,True,False,anglicarewa,SYD
2,40,Courses for new starters - Employee - Corporate,Does not include Managers/Supervisors,2025-03-07 02:46:36+00:00,2026-05-28 23:59:39+00:00,True,True,True,False,gwmwater,SYD
10,49,Client Experience/Claims,Mandatory Induction Compliance Training,2026-06-18 01:33:33+00:00,2026-06-18 01:33:43+00:00,True,True,True,False,achmea,SYD
8,5,Support Office - All onboarding,,2025-04-27 23:51:02+00:00,2025-10-28 04:18:56+00:00,True,True,True,False,millenniumhotels,SYD
1629,14236,NP Covid-19 ED NUM/ANUMS,ED NUM and ANUMs to complete the following Covid 19 packages by 4th May 2020,2020-04-17 01:22:28+00:00,2020-05-07 14:05:17+00:00,True,True,True,False,healthscope,SYD
187,105,CS - Social & Economic Wellbeing (SEW) - OP197,NILS Interviewer. Updated September 2025.,2022-09-21 09:04:50+00:00,2025-09-25 08:07:21+00:00,True,True,True,False,anglicaresa,SYD
26,614,"Foroozan Sepehrinia - etrainu and ELMO 2024, 2025","Foroozan Sepehrinia - etrainu and ELMO 2024, 2025",2024-10-01 06:33:31+00:00,2025-05-13 06:02:18+00:00,True,True,True,False,lifecoop,SYD
296,211,Operational Trainer Team Leader (TNA) 2025,Operational Trainer Team Leader (TNA) 2025,2025-03-28 05:44:27+00:00,2025-10-28 03:35:38+00:00,True,True,True,False,sydneymetro,SYD
178,160,Response and Engineering Monitoring Performance Officer (TNA) 2025,EMD - Response and Engineering Monitoring Performance Officer (TNA) 2025,2024-07-16 06:12:16+00:00,2025-10-07 10:00:07+00:00,True,True,True,False,sydneymetro,SYD
492,105,"People, Quality & Risk (PQR) - OP721",Executive Assistant. Updated September 2025.,2023-01-23 01:52:05+00:00,2026-05-04 01:25:59+00:00,True,True,True,False,anglicaresa,SYD
67,18,Recovery Workers Albany,No Medication,2023-03-15 03:36:18+00:00,2023-05-29 04:31:55+00:00,False,True,True,False,rw,SYD
133,625,Aine O'Keeffe - ELMO and etrainu courses 2025,Aine O'Keeffe - ELMO and etrainu courses 2025,2025-05-07 01:05:56+00:00,2025-05-07 01:12:41+00:00,True,True,True,False,lifecoop,SYD
208,14,Quay Clean,Brighton Grammar (Cleaners),2020-10-19 06:13:52+00:00,2020-10-19 06:14:08+00:00,True,True,True,False,hunterindustrials,SYD
11,33,WALZ Group - Site Wide,,2021-01-11 04:18:37+00:00,2021-09-20 01:25:20+00:00,False,False,True,False,wicetcontractor,SYD
435,36,COM_CYF - OP513,Foster Care Placement Worker,2022-09-23 03:19:48+00:00,2025-07-30 03:01:40+00:00,False,True,True,False,anglicaresa,SYD
5,150,All Staff - Compulsory,,2018-08-07 00:45:01+00:00,2023-04-26 04:17:57+00:00,True,True,True,False,swsphn,SYD
63,289,Terminal Supervisor - Step-up,Course requirements for Terminal Supervisor - Step-up,2022-12-06 21:38:54+00:00,2025-11-05 03:51:38+00:00,True,True,True,False,wicet,SYD
